Block	MerSort	QuickSort	Swaps
308	0.004395	0.003343	42995102
309	0.004440	0.003420	43306800
310	0.004420	0.003438	43612949
311	0.004438	0.003390	43921729
312	0.004449	0.003338	44202717
313	0.004468	0.003443	44517390
314	0.004479	0.003374	44800307
315	0.004490	0.003444	45107916
316	0.004509	0.003411	45399965
317	0.004510	0.003359	45697287
318	0.004451	0.003364	45988488
319	0.004524	0.003401	46292282
320	0.004500	0.003485	46602131
321	0.004525	0.003431	46917650
322	0.004506	0.003464	47204637
323	0.004512	0.003417	47505695
324	0.004495	0.003424	47802454
325	0.004533	0.003479	48090818
326	0.004576	0.003498	48403167
327	0.004643	0.003721	48735441
328	0.004568	0.003575	49057180
329	0.004589	0.003550	49386273
330	0.004716	0.003639	49719068
331	0.004626	0.003612	50049841
332	0.004738	0.003553	50388711
333	0.004719	0.003607	50723130
334	0.004682	0.003660	51018363
335	0.004701	0.003713	51376059
336	0.004773	0.003659	51699412
337	0.004830	0.003695	52015347
338	0.004840	0.003726	52337835
339	0.004864	0.003758	52685101
340	0.004890	0.003747	53000042
341	0.004900	0.003719	53309056
342	0.004916	0.003742	53631677
343	0.004934	0.003759	53957963
344	0.004960	0.003795	54279281
345	0.004967	0.003734	54589943
346	0.004945	0.003738	54925108
347	0.004941	0.003800	55247226
348	0.004922	0.003780	55572310
349	0.004938	0.003712	55908690
350	0.004953	0.003692	56237748
351	0.005008	0.003813	56556808
352	0.004993	0.003836	56912978
353	0.005013	0.003985	57285344
354	0.005021	0.003853	57626056
355	0.005101	0.003803	57961804
356	0.005056	0.003850	58305989
357	0.005061	0.003844	58648805
358	0.005087	0.003918	59016636
359	0.005173	0.003931	59375964
360	0.005190	0.003869	59709297
361	0.005156	0.003908	60034427
362	0.005164	0.003869	60357281
363	0.005192	0.003949	60705440
364	0.005191	0.003954	61058284
365	0.005189	0.003932	61411256
366	0.005229	0.003991	61759572
367	0.005223	0.004028	62115310
368	0.005240	0.004012	62474579
369	0.005218	0.003954	62834941
370	0.005240	0.003993	63211586
371	0.005250	0.004030	63580745
372	0.005267	0.004049	63957507
373	0.005286	0.003994	64303283
374	0.005363	0.004048	64695253
375	0.005334	0.004228	65082952
376	0.005381	0.004073	65458971
377	0.005416	0.004094	65798001
378	0.005373	0.004370	66225192
379	0.005391	0.004283	66621533
380	0.005409	0.004261	67021413
381	0.005453	0.004182	67380611
382	0.005504	0.004215	67775001
383	0.005457	0.004163	68144308
384	0.005470	0.004170	68508532
385	0.005522	0.004195	68892479
386	0.005512	0.004476	69347875
387	0.005541	0.004285	69732993
388	0.005528	0.004321	70146634
389	0.005516	0.004201	70490573
390	0.005530	0.004176	70882659
391	0.005571	0.004279	71273606
392	0.005580	0.004219	71657011
393	0.005605	0.004251	72014110
394	0.005614	0.004347	72431244
395	0.005661	0.004352	72794121
396	0.005650	0.004348	73189641
397	0.005657	0.004474	73606354
398	0.005739	0.004364	73999113
399	0.005684	0.004422	74407663
400	0.005704	0.004388	74791986
401	0.005717	0.004437	75230637
402	0.005788	0.004432	75645248
403	0.005746	0.004375	76047300
404	0.005752	0.004474	76477641
405	0.005755	0.004345	76873557
406	0.005772	0.004389	77255680
407	0.005817	0.004529	77675376
408	0.005850	0.004553	78068295
409	0.005864	0.004519	78446591
410	0.005805	0.004456	78817613
411	0.005833	0.004515	79220788
412	0.005849	0.004497	79609378
413	0.005864	0.004679	80000997
414	0.005886	0.004651	80468159
415	0.005905	0.004613	80901868
416	0.005927	0.004610	81353199
417	0.005991	0.004544	81764558
418	0.005959	0.004632	82246429
419	0.006000	0.004660	82665425
420	0.005992	0.004592	83056294
421	0.006007	0.004656	83525698
422	0.006034	0.004654	83935165
423	0.006056	0.004711	84355923
424	0.006061	0.004657	84793913
425	0.006087	0.004644	85179552
426	0.006104	0.004743	85592098
427	0.006108	0.004824	86059762
428	0.006165	0.004850	86532394
429	0.006142	0.004782	86994927
430	0.006157	0.004881	87457425
431	0.006212	0.004859	87904225
432	0.006190	0.004896	88353421
433	0.006240	0.004932	88833363
434	0.006224	0.004751	89239853
435	0.006253	0.004880	89677202
436	0.006264	0.004815	90099467
437	0.006287	0.004859	90540927
438	0.006291	0.004819	90946406
439	0.006339	0.004760	91368609
440	0.006327	0.004846	91800760
441	0.006346	0.004889	92223070
442	0.006355	0.004955	92686125
443	0.006462	0.004858	93095094
444	0.006457	0.004844	93501623
445	0.006442	0.004995	93989236
446	0.006424	0.004954	94428126
447	0.006436	0.004976	94885851
448	0.006475	0.005002	95316502
449	0.006452	0.005003	95761957
450	0.006498	0.005052	96217647
451	0.006488	0.005061	96683518
452	0.006496	0.005127	97152299
453	0.006546	0.004982	97587899
454	0.006535	0.005143	98107455
455	0.006574	0.005075	98581307
456	0.006600	0.005089	99024323
457	0.006671	0.005084	99488164
458	0.006601	0.005015	99906155
459	0.006608	0.005092	100385260
460	0.006737	0.005185	100848110
461	0.006644	0.005063	101268595
462	0.006658	0.005166	101731750
463	0.006677	0.005089	102173745
464	0.006695	0.005186	102655097
465	0.006706	0.005096	103110689
466	0.006749	0.005165	103579937
467	0.006736	0.005092	104007443
468	0.006738	0.005297	104486252
469	0.006822	0.005184	104926237
470	0.006779	0.005234	105373821
471	0.006787	0.005281	105821505
472	0.006831	0.005283	106273109
473	0.006887	0.005265	106752754
474	0.006854	0.005331	107199439
475	0.006934	0.005251	107637865
476	0.006923	0.005293	108129624
477	0.007024	0.005484	108624859
478	0.007069	0.005489	109130864
479	0.007042	0.005388	109621169
480	0.007059	0.005401	110079223
481	0.007119	0.005491	110570631
482	0.007079	0.005588	111100037
483	0.007087	0.005472	111576558
484	0.006998	0.005419	112031493
485	0.007001	0.005399	112500851
486	0.006982	0.005515	113034553
487	0.007001	0.005390	113482665
488	0.007063	0.005455	113965767
489	0.007032	0.005475	114454880
490	0.007012	0.005459	114938567
491	0.007062	0.005480	115404169
492	0.007104	0.005537	115975198
493	0.007071	0.005521	116482456
494	0.007094	0.005407	116931118
495	0.007116	0.005493	117389110
496	0.007138	0.005728	117895369
497	0.007191	0.005575	118424053
498	0.007175	0.005556	118931247
499	0.007185	0.005593	119413722
500	0.007216	0.005602	119916457
501	0.007230	0.005695	120493147
502	0.007247	0.005724	121039152
503	0.007269	0.005675	121563852
504	0.007297	0.005614	122061716
505	0.007311	0.005776	122629489
506	0.007323	0.005703	123141099
507	0.007372	0.005676	123682967
508	0.007391	0.005630	124196748
509	0.007453	0.005664	124673059
510	0.007414	0.005713	125199867
511	0.007402	0.005804	125733052
512	0.007408	0.005847	126228135
513	0.007523	0.005790	126717448
514	0.007535	0.005779	127207303
515	0.007495	0.005781	127689660
516	0.007477	0.005859	128232411
517	0.007521	0.005730	128706710
518	0.007520	0.005686	129198865
519	0.007540	0.005888	129708784
520	0.007555	0.005908	130221317
521	0.007632	0.005982	130821082
